X,Y,tourism,name,addr:street,name:en,addr:housenumber,attraction,website,addr:postcode,phone,wheelchair,addr:city,wikidata,addr:state,opening_hours,wikipedia,description,historic,amenity,ele,leisure,name:ko,url,alt_name,artwork_type,name:de,name:ru,name:zh
-74.0344625,40.6116361,attraction,Cannon,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8531653,42.9384644,attraction,Carousel (seasonal),,,,carousel,,,,,,,,,,,,,,,,,,,,,
-74.0038558,40.7353655,attraction,Carrie Bradshaw House,,,,,http://www.1000thingsnyc.com/carrie-bradshaw-house/,,,,,,,,,,,,,,,,,,,,
-76.5244498,42.4569351,attraction,Car turnout/speed trap,,Car turnout/speed trap,,,,,,,,,,,,,,,,,,,,,,,
-74.0038435,40.7353019,attraction,Casa di Carrie,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4958208,42.0311584,attraction,cascade,,,,,,,,,,,,,,,,,,,,,,,,,
-79.0712798,43.0836513,attraction,Cave of the Winds,,,,,,,,,,,,,,,,,,,,,,,,,
-76.7353144,42.8307412,attraction,Cayuga Lake (Thomas B. Marsh),,,,,,,,,,,,,,,,,,,,,,,,,
-78.9018637,42.9006424,attraction,Charles & Marie Fontana Boathouse,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0018779,40.7458698,attraction,Chelsea,,Chelsea,,,,,,,,,,,,,,,,,,,,,,,
-73.9903215,40.7436928,attraction,Chelsea Flea Market,,Chelsea Flea Market,,,,,,,,,,,,,,,,,,,,,Chelsea Flea Market,,
-74.0069958,40.7429236,attraction,Chelsea Market,9th Avenue,,75,,http://chelseamarket.com/,10011,+12122436005,,,,,"Mo-Sa 07:00-21:00; Su 08:00-20:00",,,,,,,첼시마켓,,,,,,
-77.7960304,43.0590424,attraction,Chili Historical Society,,,,,,,,,,,,,,A building containing information about local history.,,,,,,,,,,,
-74.229794,43.6877982,attraction,Chimney Mountain,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9967059,40.7152617,attraction,chinatown,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9984718,40.7156257,attraction,Chinatown,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0015777,40.7628257,attraction,Circle line ferry's,,,,,,,,,,,,,,,,,,,,,,,,,
-77.2303714,43.0386991,attraction,Clark Chase Farm,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9993906,44.6606701,attraction,Clarkson 9/11 Memorial,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0047756,40.7580806,attraction,Classic Car Club Manhattan,12th Avenue,,408,,https://classiccarclubmanhattan.com/,10018,+12122292402,,,,,Mo-Su 09:00-13:00,,,,,,,,,,,,,
-75.3837234,43.051195,attraction,Clinton Cider Mill,Elm Street,,,,,,,,,,,,,,,,,,,,,,,,
-73.9907173,40.7436081,attraction,Cocktail Kingdom,,Cocktail Kingdom,,,,,,,,,,,,,,,,,,,,,,,
-75.928546,42.3411586,attraction,Coles Maple Syrup and Cream,State Highway 206,,,,,,,,,,,,,,,,,,,,,,,,
-75.6657323,42.1491197,attraction,Cole's tavern ,,,,,,,,,,,,,,,,,,,,,,,,,
-75.6050328,42.1878776,attraction,Colesville Branch,East Windsor Road,,1945,,,,,,,,,,,,,,,,,,,,,,
-73.9924535,40.72928,attraction,Colonnade row,,,,,,,,,,Q8348030,,,en:Colonnade Row,,,,,,,,,,,,
-74.0062226,40.7258444,attraction,Color Factory,Spring Street,,251,,http://colorfactory.co,,,,,,,Th-Tu 10:00-23:00,,,,,,,,,,,,,
-74.0004746,41.2984078,attraction,concrete steps,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9754812,40.5741011,attraction,Conservation Hall,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6769869,43.0843202,attraction,Construction 105,,,,,http://artoncampus.rit.edu/art/39/,,,,,,,,,,,,,,,,,sculpture,,,
-75.7418578,42.3200324,attraction,Cook Park,,Cook Park,,,,,,,,,,,,,,,,,,,,,,,
-73.7317693,42.7038173,attraction,Corning Plot,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0023028,40.7177393,attraction,Cortlandt Alley,,,,,,,,,,,,,,,,,,,,,,,,,
-77.623018,43.2077515,attraction,Cougar,,,,animal,,,,,,,,,,,,,,,,,,,,,
-73.9850116,40.7273461,attraction,Couv Led Zepp 5e album,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9824692,40.7426273,attraction,"""Curry hill""",,"""Curry hill""",,,,,,,,,,,,,,,,,,,,,,,
-73.5879868,41.7342262,attraction,curved outcropping,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9776669,40.5750669,attraction,Cyclone Rollercoaster,,,,,,,,,,Q677558,,,en:Coney Island Cyclone,,yes,,,,,,,,,,
-73.5969358,40.8759564,attraction,Daniel Gale Real Estate,,Daniel Gale Real Estate,,,,11560,,,,,,,,,,,,,,,,,,,
-73.7345695,42.704858,attraction,Daniel Manning Grave,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6361672,43.0831131,attraction,Dave & Buster's,Miracle Mile Drive,,15,,https://www.daveandbusters.com/locations/rochester,14623,+1-585-417-4300,yes,Rochester,,NY,,,"Famous Adult Bar, Grill, and Arcade ",,,,amusement_arcade,,,,,,,
-73.9711748,40.7681147,attraction,Delacorte Musical Clock,,,,,,,,,,,,,,,yes,clock,,,,,,,,,
-78.8751269,42.9352103,attraction,Delaware Park Japanese Gardens,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9801423,40.757242,attraction,Diamond District,,,,,,,,,,Q1208691,,,en:Diamond District,,,,,,,,,,,,
-73.4908855,42.0374119,attraction,dim blue trail continues,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5900427,41.7324668,attraction,dim path continues,,,,,,,,,,,,,,,,,,,,,,,,,
-73.492747,42.0450999,attraction,dim path continues,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7143461,43.4225286,attraction,Doctor Morbid's Haunted House,,,,,,,,,,,,,,,,,,,,,,,,,
-73.588935,41.7380902,attraction,Dover Stone Church,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9906645,42.0762093,attraction,Downsville Covered Bridge,,,,,,,,,,,,,,,,,,,,,,,,,
-77.234172,43.063752,attraction,Dr. Alexander McIntyre Home,West Main Street,,109,,,,,,,,,,,,,,,,,,,,,,
-74.0048345,40.7184994,attraction,Dream house,,Dream house,,,,,,,,,,Th-Sa 14:00-00:00,,,,,,,,,,,,,
-73.9965692,40.7313956,attraction,Dr. Neville's I Am Legend townhouse,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9626251,40.6558823,attraction,Drummer's Grove,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9895414,40.7032046,attraction,Dumbo Photozone,,Hausnummer 33 Galerie,,,,,,,,,,,,,,,,,,,,,,,
-73.7506929,42.6416553,attraction,Dutch Apple Cruises,Broadway,,139,,,12202,,,Albany,,NY,,,,,,,,,http://dutchapplecruises.com,,,,,
-77.2307606,43.0637068,attraction,EB Grandin Bookstore,East Main Street,,219,,,,,,,,,,,,,,,,,,,,,,
-76.0454397,42.3573239,attraction,Ed's Fish Auction (turn here sign),,Ed's Fish Auction (turn here sign),,,,,,,,,,,,,,,,,,,,,,,
-76.5104507,42.4407529,attraction,Emmy's Organics,,Emmy's Organics,,,,,,,,,,,,,,,,,,,,,,,
-73.9849958,40.7481628,attraction,Empire State Building,5th Avenue,,350,,https://www.esbnyc.com/,10118,2127363100,yes,,,,Mo-Su 08:00-02:00,,,,,,,엠파이어 스테이트 빌딩,,,,,,
-77.6233239,43.2066484,attraction,Emu,,,,animal,,,,,,,,,,,,,,,,,,,,,
-73.7310987,42.7048306,attraction,Erastus Dow Palmer Grave,,,,,,,,,,,,,,,,,,,,,,,,,
-77.2339142,43.065952,attraction,Erie Canal ,,,,,,,,,,,,,,,,,,,,,,,,,
-76.1990435,42.3566287,attraction,Ernie's Bait and Tackle,,Ernie's Bait and Tackle,,,,,,,,,,,,,,,,,,,,,,,
-73.8614237,41.0887934,attraction,Escultura jinete sin cabeza,,,,,,,,,,,,,,,,,,,,,,,,,
-78.7516628,42.7017528,attraction,Eternal Flame Falls,,,,,,,,,,,,,,,,,,,,,,,,,
-72.7591178,40.8664214,attraction,Exit sign,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9992431,40.7173683,attraction,Explore Chinatown Information Kiosk,,,,,,,,,,,,,,,,,,,,,,,,,
-76.6483248,42.5194314,attraction,Fire hydrant,,Fire hydrant,,,,,,,,,,,,,,,,,,,,,,,
-78.6121291,42.772802,attraction,Fisher Price Toy Store,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8806403,40.8490562,attraction,Flamingos,,,,animal,,,,,,,,,,,,,,,,,,,,,
-73.9896534,40.7410722,attraction,Flatiron District,,,,,,10010,,,,Q1427377,,,,,,,,,,,,,,,
-73.8422002,44.3655876,attraction,Flume Falls,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9814247,40.7570047,attraction,Food Truck Street,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2263489,41.2489221,attraction,Forrest of Fear,,,,,,,,,,,,,,,,,,,,,,,,,
-75.8043045,44.0586401,attraction,Fort Drum MWR,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3876062,43.8417062,attraction,Fort Ticonderoga,,,,,https://www.fortticonderoga.org/,,,,,,,,,,,,,,,,,,,,
-74.0122141,40.6915006,attraction,Free Kayaking with the Downtown Boathouse,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9835751,40.7725562,attraction,Free Public Stargazing,,,,,https://www.aaa.org/,,,,,,,,,,,,,,,,,,,,
-74.0077867,40.742058,attraction,Free Public Stargazing,,,,,https://www.aaa.org/,,,,,,,,,,,,,,,,,,,,
-74.0052999,40.7323594,attraction,Friends Building,Bedford Street,,90,,,10014,,,New York,,,,,,,,,,,,,,,,
-77.6199201,43.1590315,attraction,Frontier Field Walk of Fame,,,,,http://www.frontierfield.org/walkoffame/frontierhome.html,,,,,,,,,,monument,,,,,,,,,,
-73.714212,43.4229414,attraction,Fun World Arcade,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9738339,40.7669278,attraction,Gapstow bridge,,,,,,,,,,,,,,,,,,,,,,,,,
-73.849555,40.7440374,attraction,Gates of Life,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8546852,42.9400934,attraction,Gemsbok,,,,,,,,,,,,,,,,,,,,,,,,,
-73.971457,40.7683299,attraction,Gentoo Penguin,,,,animal,,,,,,,,,,,,,,,,,,,,,
-73.9695116,40.5746261,attraction,Giant Squid,Surf Avenue,,,,,11235,,,Brooklyn,,NY,,,,,,,,,,,,,,
-73.9591072,40.7947038,attraction,Glen span arch,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9757117,40.5739518,attraction,Glover's Reef,,,,,,,,,,,,,,,,,,,,,,,,,
-75.5420347,42.3135386,attraction,Golf Driving Range,,Golf Driving Range,,,,,,,,,,,,,,,,,,,,,,,
-74.0592748,43.6878587,attraction,Gore Mt. Mineral Shop,,,,,http://www.garnetminetours.com/,,,,,,,,,,,,,,,,,,,,
-78.854449,42.9389628,attraction,Gorilla,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4326211,42.7319448,attraction,Grandfather Rock,,,,,,,,,,,,,,,,,,,,,,,,,
-76.2141799,43.0729555,attraction,Great New York State Fair,State Fair Boulevard,,581,,,13209,315 487 7711,,Syracuse,Q5599624,NY,,en:Great New York State Fair,,,,,,,,New York State Fair,,,,
-74.0028172,40.7335844,attraction,Greenwich Village,,Greenwich Village,,,,,,,,Q205380,,,en:Greenwich Village,,,,,,,,,,,,
-73.994485,40.7575014,attraction,Grey houndiin bus stop,,,,,,,,,,,,,,,,,,,,,,,,,
-73.971913,40.7684111,attraction,Grizzly Bear,,,,animal,,,,limited,,,,,,,,,,,,,,,,,
-74.0057762,40.7321795,attraction,Grove Court,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8142927,42.7378833,attraction,Hamburg Fairgrounds,,,,,,,,yes,,,,,,,,,,,,,,,,,
-74.9886596,42.1958134,attraction,Hamden Covered Bridge,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9697619,40.6531744,attraction,Hammerhead Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,
-73.998611,40.731889,attraction,Hangman's Elm,,,,,,,,,,Q1407769,,,,,,,,,,,,,,,
-77.6038583,43.1604334,attraction,Harro East Ballroom,North Chestnut Street,,155,,https://harroeastballroom.com/,14607,+1-585-454-0230,yes,Rochester,,NY,,,"Landmark and historic Concert Hall, Theater, and Event space.  ",building,theatre,,,,,,,,,
-77.2415235,43.0381889,attraction,Hathway Brook,,,,,,,,,,,,,,,,,,,,,,,,,
-79.0632781,43.0858398,attraction,Haunted House of Wax,,,,,,,,,,,,,,,,,,,,,,,,,
-77.501429,42.96468,attraction,Heber C. Kimball,,,,,,,,,,,,,,,,,,,,,,,,,
-76.8663699,42.4181227,attraction,Hectors Falls,,Hectors Falls,,,,,,,,,,,,,,,,,,,,,,,
-74.0045942,40.7467801,attraction,High Line Access,,High Line Access,,,,,,,,,,,,,,,,,,,,,,,
-74.0066972,40.745118,attraction,High Line Park,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9454366,42.1113741,attraction,"""Home of the Square Deal"" Arch",,,,,,,,,,,,,,,,,,,,,,,,,
-77.2248871,43.0622455,attraction,Home site of the Joseph Smith Sr Family,Vienna Street,,202,,,,,,,,,,,,,,,,,,,,,,
-73.8498392,41.0120128,attraction,House Of Sports,Elm Street,,1,,http://www.houseofsportsny.com,,,,,,,Mo-Su 09:00-22:00,,,,,,,,,,,,,
-74.3985395,42.6962438,attraction,Howe Caverns,Discovery Drive,,255,,https://www.howecaverns.com/,12092,+1 (518) 296-8900,,Howes Cave,,,,,,,,,,,,,,,,
-73.9556352,40.7958354,attraction,Huddlestone arch,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0867254,41.7521372,attraction,Huguenot Street Historic District,,,,,,,,,,,,,,,,,62,park,,,,,,,
-76.7211749,42.5126527,attraction,Hunt's Christmas Tree Farm In The Finger Lakes,Stillwell Road,,5770,,http://www.winecountrycabins.com/finger-lakes/tree-farm/index.htm,14886,(607) 387-9399,,,,,,,,,,,,,,,,,,
-74.8635013,42.7902232,attraction,"Hyde Hall Covered Bridge, 1825",,,,,,,,,,,,,,,,,,,,,,,,,
-74.035103,43.096298,attraction,Hyzer Creek Disc Golf Course,Barkersville Road,Hyzer Creek Disc Golf Course,7272,,http://hyzercreek.com,12850,,,,,,,,,,,,,,,,,,,
-73.8928438,40.8238878,attraction,I Love the Bronx mural,,,,,,,,,,,,,,,,,,,,,,,,,
-76.5155973,42.4443352,attraction,Incodema,,Incodema,,,,,,,,,,,,,,,,,,,,,,,
-77.5718244,42.9757788,attraction,Ira Bond Home site,,,,,,,,,,,,,,,,,,,,,,,,,
-77.4982266,42.9655528,attraction,Jhon P. Green,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7258416,42.7069633,attraction,John Van Buren Grave,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5021989,42.9740931,attraction,John Young Home ( back portion),,,,,,,,,,,,,,,,,,,,,,,,,
-77.5021986,42.9744007,attraction,John Young Home ( front portion),Cheese Factory Road,,,,,,,,,,,,,,,,,,,,,,,,
-75.5838967,42.2110409,attraction,Joshia Stowell Home & Farm ,State Highway 7,,323,,,,,,,,,,,,,,,,,,,,,,
-74.1105444,40.5940077,attraction,Jurassic Park,Todt Hill Road,,724,,https://www.dnainfo.com/new-york/20120606/todt-hill/dinosaurs-dragons-transform-staten-island-home-into-fantasy-world,10304,,,Staten Island,,NY,,,,,,,,,,,,,,
-73.997566,40.699556,attraction,Kayak Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9465643,40.8237942,attraction,La casa de los Tenenbaums,Convent Avenue,La casa de los Tenenbaums,339,,,10031,,,,,,,,,,,,,,,,,,,
-73.9946773,40.733199,attraction,La de forest house,,La de forest house,,,,,,,,,,,,,,,,,,,,,,,
-79.3369697,42.4533785,attraction,Lake Shore Savings Clock Tower,,,,,,,,,,,,,,,,,,,,,,,,,
-78.5969968,42.9306067,attraction,Lancaster NIKE Base (Historical),,,,,,,,,,,,,,,yes,,,,,,,,,,
-73.996371,40.6952161,attraction,Large Anchor,Montague Street,,76,,,11201,,,Brooklyn,,,,,,,,,,,,,,,,
-73.9979534,41.2937927,attraction,large red oak,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6258816,43.0802426,attraction,Lasertron,Marketplace Drive,,1175,,https://rochester.lasertron.us/,14623,+1-585-397-7447,yes,Rochester,,NY,,,,,,,adult_gaming_centre,,,,,,,
-76.3212174,42.3869502,attraction,Leachwood Farm,,Leachwood Farm,,,,,,,,,,,,,,,,,,,,,,,
-73.7134878,43.424617,attraction,Leonelli's Playland Arcade,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9818662,40.7210728,attraction,Le Petit Versailles,East Houston Street,,346,,http://alliedproductions.org/le-petit-versailles/,,2125298815,,,,,,,,,,,,,,,,,,
-73.9933152,40.711079,attraction,LES SKATEPARK,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6214897,43.2090637,attraction,Lion,,,,animal,,,,,,,,,,,,,,,,,,,,,
-78.8544543,42.9396896,attraction,Lions,,,,,,,,,,,,,,,,,,,,,,,,,
-76.0118168,42.352979,attraction,Lisle Fire Service,,Lisle Fire Service,,,,,,,,,,,,,,,,,,,,,,,
-77.0577173,42.145259,attraction,Little Joe Tower,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9921517,40.724241,attraction,Liz Christy Garden,,,,,,,,,,Q6660076,,,en:Liz Christy Garden,,,,,,,,,,,,
-73.7094315,43.4209407,attraction,LK.Geo.SteamBoat Co.,,,,,,,,,,,,,,,,,,,,,Lake George Steamboat Company,,,,
-78.6926407,43.1718658,attraction,Lockport Cave & Underground Boat Ride,Gooding Street,,5,,https://lockportcave.com/,14094,+1 716 438 0174,,Lockport,,NY,,,,,,,,,,,,,,
-76.1067067,42.3635869,attraction,Lopke,,Lopke,,,,,,,,,,,,,,,,,,,,,,,
-73.9871259,40.7203544,attraction,Low Line Park,,,,,,,,,,,,,,,,,,,,,,,,,
-77.2455847,43.0913719,attraction,Lucy Harris Home & Farm,Macedon Center Road,,2827,,,,,,,,,,,,,,,,,,,,,,
-78.8632388,42.8491678,attraction,Lucy Smith & Colesville,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9786489,40.5752152,attraction,Luna Arcade,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9946122,40.7346861,attraction,Mad about you building,,,,,,,,,,,,,,,,,,,,,,,,,
-73.995237,40.7164099,attraction,Mahayanna Buddhist Center,,,133,,,,,,,,,,,,,,,,,,,,,,
-73.9883555,40.7233199,attraction,Maison sur les toits,,Maison sur les toits,,,,,,,,,,,,,,,,,,,,,,,
-77.9381174,42.9925582,attraction,Marion Steam Shovel,,,,,,,,,,Q6765375,,,"en:Marion Steam Shovel (Le Roy, New York)",,yes,,,,,,,,,,
-73.9964593,40.7337057,attraction,Mark Twain House,,,,,,,,,,,,,,,,,,,,,,,,,
-77.239623,43.0847264,attraction,Martin Harris Farm,Maple Avenue,,2095,,,,,,,,,,,,,,,,,,,,,,
-74.0960079,44.3056637,attraction,Mckenzie Pond Bouldering Access (appx),,,,,,,,,,,,,,,,,,,,,,,,,
-74.0075113,40.7409502,attraction,Meatpacking District,,Meatpacking District,,,,,,,,,,,,,,,,,,,,,,,
-77.6239594,43.2057878,attraction,Meerkat,,,,animal,,,,,,,,,,,,,,,,,,,,,
-77.5047243,42.997763,attraction,Mendon General Store,Rush Mendon Road,,3913,,,,,,,,,,,,,,,,,,,,,,
-77.623177,43.2075733,attraction,Mexican Gray Wolf,,,,animal,,,,,,,,,,,,,,,,,,,,,
-75.0195211,41.5563263,attraction,mill site?,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5786211,43.1129673,attraction,Mohawk Maiden Cruises,,,,,https://mohawkmaidencruises.com/index.html,,,,,,,,,,,,,,,,,,,,
-78.8525328,42.9390063,attraction,M&T Bank Rainforest Falls,,,,,,,,,,,,,,,,,,,,,,,,,
-76.8552394,42.5218252,attraction,Muddy Fingers Farm,Dugue Road,,3800,,http://muddyfingersfarm.blogspot.com,14841,(607) 546-4535,,,,,"Fr 09:00-18:00, May-Oct",,,,,,,,,,,,,
-77.2390202,43.079266,attraction,Nathan Harris Home Site,Maple Avenue,,1971,,,,,,,,,,,,,,,,,,,,,,
-75.0445077,41.5845393,attraction,natural rock shelter,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9796681,40.7591424,attraction,NBC Studios,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8777092,40.8516445,attraction,New York City Zoo,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7580873,42.6529766,attraction,New York State Capitol Tour,,,,,,,,,,,,,,,,,,,,https://empirestateplaza.ny.gov/tours/new-york-state-capitol,,,,,
-73.7604517,42.6464026,attraction,New York State Executive Mansion Tour,,,,,,,,,,,,,,,,,,,,https://www.governor.ny.gov/explore-governors-mansion,,,,,
-79.0642558,43.0863441,attraction,Niagara Wax Museum of History,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9689522,40.8027944,attraction,Nicholas Roerich Museum,,,,,,,,,,,,,,,,,,,,,,,,,
